platform,campaign,ad_group,audience,intent,asset,copy_id,headline,cta,landing,utm,budget_scenario,status,policy_status,notes
Meta,META_TRAFFIC_CAREPA_V1,valoracion,18+; Carepa; amplia sin salud sensible,valoracion,public/marketing/acquisition-v1/feed/valoracion-1080x1350.webp,M_VAL_01,Da el primer paso,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_valoracion&utm_content=feed_valoracion_01,BASE COP 1.000.000 total,DRAFT,PASS,Feed; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,valoracion,18+; Carepa; amplia sin salud sensible,valoracion,public/marketing/acquisition-v1/stories/valoracion-1080x1920.webp,M_VAL_02,Valoración en Carepa,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_valoracion&utm_content=story_valoracion_02,BASE COP 1.000.000 total,DRAFT,PASS,Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,valoracion,18+; Carepa; amplia sin salud sensible,valoracion,public/marketing/acquisition-v1/reels/valoracion-nataly-720x1280.mp4,M_VAL_03,Conoce el consultorio,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_valoracion&utm_content=reel_valoracion_03,BASE COP 1.000.000 total,DRAFT,PASS,Reels/Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,sonrisa,18+; Carepa; amplia sin salud sensible,sonrisa,public/marketing/acquisition-v1/feed/sonrisa-1080x1350.webp,M_SON_01,Opciones para tu sonrisa,LEARN_MORE,/c/sonrisa,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_sonrisa&utm_content=feed_sonrisa_01,BASE COP 1.000.000 total,DRAFT,PASS,Feed; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,sonrisa,18+; Carepa; amplia sin salud sensible,sonrisa,public/marketing/acquisition-v1/stories/sonrisa-1080x1920.webp,M_SON_02,Conoce tus alternativas,LEARN_MORE,/c/sonrisa,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_sonrisa&utm_content=story_sonrisa_02,BASE COP 1.000.000 total,DRAFT,PASS,Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,sonrisa,18+; Carepa; amplia sin salud sensible,sonrisa,public/marketing/acquisition-v1/reels/recorrido-local-montage-720x1280.mp4,M_SON_03,Tu sonrisa es única,LEARN_MORE,/c/sonrisa,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_sonrisa&utm_content=reel_sonrisa_03,BASE COP 1.000.000 total,DRAFT,PASS,Reels/Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,confianza,18+; Carepa; amplia sin salud sensible,confianza,public/marketing/acquisition-v1/feed/confianza-1080x1350.webp,M_CON_01,Un equipo cercano,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_confianza&utm_content=feed_confianza_01,BASE COP 1.000.000 total,DRAFT,PASS,Feed; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,confianza,18+; Carepa; amplia sin salud sensible,confianza,public/marketing/acquisition-v1/stories/confianza-1080x1920.webp,M_CON_02,Equipo real en Carepa,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_confianza&utm_content=story_confianza_02,BASE COP 1.000.000 total,DRAFT,PASS,Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,confianza,18+; Carepa; amplia sin salud sensible,confianza,public/marketing/acquisition-v1/reels/consultorio-recorrido-720x1280.mp4,M_CON_03,Conoce antes de agendar,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_confianza&utm_content=reel_confianza_03,BASE COP 1.000.000 total,DRAFT,PASS,Reels/Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,consultorio,18+; Carepa; amplia sin salud sensible,consultorio,public/marketing/acquisition-v1/feed/consultorio-1080x1350.webp,M_ESP_01,Conoce nuestro espacio,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_consultorio&utm_content=feed_consultorio_01,BASE COP 1.000.000 total,DRAFT,PASS,Feed; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,consultorio,18+; Carepa; amplia sin salud sensible,consultorio,public/marketing/acquisition-v1/stories/consultorio-1080x1920.webp,M_ESP_02,Tu consultorio en Carepa,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_consultorio&utm_content=story_consultorio_02,BASE COP 1.000.000 total,DRAFT,PASS,Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,consultorio,18+; Carepa; amplia sin salud sensible,consultorio,public/marketing/acquisition-v1/reels/consultorio-cierre-720x1280.mp4,M_ESP_03,Un espacio cercano,LEARN_MORE,/c/valoracion,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_consultorio&utm_content=reel_consultorio_03,BASE COP 1.000.000 total,DRAFT,PASS,Reels/Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,prevencion,18+; Carepa; amplia sin salud sensible,prevencion,public/marketing/acquisition-v1/feed/prevencion-1080x1350.webp,M_PRE_01,Cuida tu salud oral,LEARN_MORE,/c/limpieza,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_prevencion&utm_content=feed_prevencion_01,BASE COP 1.000.000 total,DRAFT,PASS,Feed; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,prevencion,18+; Carepa; amplia sin salud sensible,prevencion,public/marketing/acquisition-v1/stories/prevencion-1080x1920.webp,M_PRE_02,Prevención con orientación,LEARN_MORE,/c/limpieza,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_prevencion&utm_content=story_prevencion_02,BASE COP 1.000.000 total,DRAFT,PASS,Stories; website destination; WhatsApp directo HOLD
Meta,META_TRAFFIC_CAREPA_V1,prevencion,18+; Carepa; amplia sin salud sensible,prevencion,public/marketing/acquisition-v1/reels/consultorio-recorrido-720x1280.mp4,M_PRE_03,Cuidado oral en Carepa,LEARN_MORE,/c/limpieza,utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_prevencion&utm_content=reel_prevencion_03,BASE COP 1.000.000 total,DRAFT,PASS,Reels/Stories; website destination; WhatsApp directo HOLD
Organic,ORGANIC_SUPPORT_V1,GBP+Instagram+Facebook+WA Status,Carepa y Urabá,trust+education,Launch Kit + PUBLIC-SAFE,ORGANIC_SUPPORT,Contenido real y orientación,Conoce cómo empezar,/c/valoracion,utm_medium=organic&utm_campaign=pa_v1_support,Sin pauta,DRAFT,REVIEW,Verificar dirección/horario antes de publicar
