grupo,sitio,url,pais_ciudad,posicionamiento,hero,fotografia,tipografia,color,cta_principal,navegacion,tratamientos,equipo,reviews,casos,motion,mobile,personalidad,impacto_visual,confianza,premium_feel,claridad,interaccion,mobile_score,conversion,originalidad,promedio,notas
B,Elite Dental,https://clinicaelitedental.com.co/,Cali / Bogota (CO),30 anos; CAD-CAM,Video sin H1,15 imagenes + video,Roboto,Azul #062d97,Agenda tu Cita hoyy (errata),Sin nav semantica,Si,Si,No,No,Video,Aceptable,Corporativa,4,5,3,3,4,4,5,2,3.8,Sin H1; errata en el CTA principal
B,Dra. Sara Restrepo,https://www.drasararestrepos.com/,Cali (CO),Tratamientos dentales avanzados,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TIMEOUT en escritorio; solo captura movil
B,La Clinica Dental,https://laclinicadental.org/,CDMX (MX),Red dental premium,H1 72px/700,48 imagenes,Inter,Cianes palidos #e1f5f9,Agenda tu cita ya,50 enlaces,Si,Si,Si,Si,Suave,Denso,Red corporativa,5,7,4,3,5,5,6,3,4.8,14.499px - el mas largo del benchmark
B,La Clinica Polanco,https://laclinicapolanco.dental/,CDMX Polanco (MX),Odontologia estetica y correctiva,H1 30px/400,33 imagenes,Montserrat,Cian #00bcd4 + morado #851e98,SOLICITAR UNA CITA,Sin nav semantica,Si,Si,Si,Si,Minimo,Aceptable,Comercial,4,6,3,4,4,4,6,2,4.1,Cian + morado poco cohesionado
B,Doctoralia Apartado,https://www.doctoralia.co/odontologo/apartado,Plataforma (CO),Directorio de odontologos,Listado con filtros,3 imagenes,system-ui,Verde #007c68,Consulta en linea,4 enlaces,Si,Si,Si (reales),No,Minimo,Muy bueno,Utilitaria,4,9,2,9,7,9,8,2,6.3,COMPETIDOR REAL por la busqueda local; reseñas y precios verificados
B,Top Doctors Bogota,https://www.topdoctors.com.co/bogota-ciudad/clinica-dental/odontologia-y-ortodoncia/estetica-dental/,Plataforma (CO),Directorio medico premium,Listado,15 imagenes,Roboto,Azul #093b5b,Pide una cita,7 enlaces,Si,Si,Si,No,Minimo,Bueno,Institucional,4,8,3,8,6,7,7,2,5.6,Reserva directa y reseñas
B,Odontoestetic,http://odontoestetic.com.co/,Colombia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,BLOQUEADO (Bitdefender) - sin calificacion
C,Chelsea Dental Clinic,https://www.chelseadentalclinic.co.uk/,Londres (UK),Quiet luxury dentistry,Foto de la SALA DE ESPERA + H1 serif centrado,Editorial del espacio; 24 imagenes,CenturyOld (serif) + NeueMontreal,Crema #f1ece2 + oliva #595f37,Book An Appointment (fantasma),57 enlaces,Si,Si,Si (logos de prensa),Si (Smile Stories),Sutil,Bueno,Quiet luxury,9,9,10,8,7,8,8,9,8.5,REFERENCIA PREMIUM DEL ESTUDIO; cero teal; prueba social antes del catalogo
C,Chelsea Dental Studio,https://chelseadentalstudio.co.uk/,Londres (UK),Implantes y estetica,H1 32px sobre azul profundo,7 imagenes,Raleway,Azul #0c2f45,BOOK ONLINE,86 enlaces,Si,Si,No,No,Minimo,Aceptable,Clinica britanica clasica,5,7,6,5,4,5,6,3,5.1,Navegacion de 86 enlaces
C,The Dental Clinic Chelsea,https://www.dentalclinicchelsea.co.uk/,Londres (UK),Consultas privadas,H1 50px en versalitas,12 imagenes,Poppins,Teal #008080 + terracota #845f4d,Book a Consultation,80 enlaces,Si,Si,No,No,Suave,Aceptable,Boutique clinica,6,7,6,6,5,6,7,4,5.9,Terracota como acento es una salida interesante del teal
C,Marylebone Smile Clinic,https://marylebonesmileclinic.co.uk/,Londres (UK),Estetica dental,Capturado,Si,n/d,n/d,Book,n/d,Si,Si,n/d,n/d,n/d,n/d,Clinica boutique,6,7,6,6,5,6,6,4,5.8,Datos parciales; ver captura
C,Smile Stylist,https://www.smilestylist.ca/,Toronto (CA),Diseno de sonrisa de autor,Blanco puro; SPA,Si,GD Sherpa (fuente propia),Blanco,n/d,SPA sin nav semantica,Si,Si,n/d,Si,Si,n/d,Autoral,7,6,8,4,6,5,5,7,6.0,Tipografia propia = maxima diferenciacion de marca
C,The Dental Design Studio,https://www.thedentaldesignstudio.co.uk/,Reino Unido,Red NHS + privada,Video,3 imagenes,Arial,Azul #1c4a8c,n/d,45 enlaces,Si,Si,No,No,Video,Aceptable,Cadena sanitaria,3,6,2,5,3,4,4,2,3.6,Arial; identidad de cadena
C,Clinica Eduardo Anitua,https://clinicaeduardoanitua.com/,Vitoria (ES),Implantologia de autor,Capturado,Si,n/d,n/d,n/d,n/d,Si,Si,n/d,n/d,n/d,n/d,Cientifica de autor,6,8,6,6,5,6,6,5,6.0,Datos parciales; autoridad clinica muy marcada
C,Propdental,https://propdental.es/,Barcelona (ES),Clinica dental,Capturado,Si,n/d,n/d,n/d,n/d,Si,Si,Si,Si,n/d,n/d,Comercial,4,6,3,5,4,5,6,2,4.4,Datos parciales
C,Vitaldent Espana,https://vitaldent.com/,Espana,Cadena dental,Capturado,Si,n/d,n/d,n/d,n/d,Si,No,Si,No,n/d,n/d,Cadena masiva,5,6,3,6,5,6,7,2,5.0,Datos parciales; modelo de cadena
C,Bupa Dental,https://bupadental.com.au/,Australia,Cadena aseguradora,Capturado,Si,n/d,n/d,Book,n/d,Si,No,Si,No,n/d,n/d,Aseguradora,5,7,4,7,5,7,7,2,5.5,Datos parciales
C,Tend,https://www.hellotend.com/,Nueva York (US),Modern judgment-free dental care,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,BLOQUEADO (Cloudflare) - referencia conocida por fuente secundaria; sin calificacion propia
C,Dental Boutique,https://dentalboutique.com.au/,Melbourne (AU),Boutique dental,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,BLOQUEADO (403) - sin calificacion
C,London Smile Clinic,https://www.londonsmileclinic.co.uk/,Londres (UK),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ERROR SSL - sin calificacion
D,The Well,https://www.the-well.com/,Wellness (US),A Global Community For Living Well,H1 serif enorme sobre foto arquitectonica calida,Espacial; travertino y luz,Chronicle Display + Styrene B,Arena #f2ede9,ABOUT THE WELL (unico boton fantasma),17 enlaces,Si,No,No,No,Muy sutil,Excelente,Editorial calida,10,8,10,7,7,9,6,9,8.3,MAXIMA REFERENCIA DE FOLD MINIMO: 4 elementos y nada mas
D,Minimale Skin,https://minimaleskin.com/,Dermo-estetica NYC (US),Ultra-minimal editorial,Rejilla editorial,10 imagenes,Poppins,Azul niebla #9db1c5 + hueso #edece7,BOOK NOW,22 enlaces,Si (rejilla igualitaria),No,No,No,Sutil,Bueno,Editorial de moda,8,6,9,7,6,7,7,8,7.3,Todos los tratamientos con el mismo peso visual
D,Skin Laundry,https://www.skinlaundry.com/,Estetica clinica (US),Facial de entrada con precio,Oferta con precio explicito,7 imagenes + 2 videos,articulat-cf + Apris,Arena #f6ede4 + cacao #3c201d + lima #cdf765,Book your first Facial for $50,Sin nav semantica,Si,No,No,Si,Suave,Bueno,Calida con acento electrico,8,7,8,8,7,8,9,8,7.9,Neutro calido + UN acento electrico; precio de entrada visible
D,Clinica Baviera,https://clinicabaviera.com/,Oftalmologia premium (ES),Cirugia refractiva,Capturado,Si,n/d,n/d,n/d,n/d,Si,Si,Si,Si,n/d,n/d,Medica de confianza,5,8,5,7,5,6,7,3,5.8,Datos parciales; modelo de confianza medica a escala
D,Aesop,https://www.aesop.com/,Luxury beauty (AU),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,BLOQUEADO - sin calificacion
D,Six Senses,https://www.sixsenses.com/,Hospitality (TH),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,BLOQUEADO (Access Denied) - sin calificacion
D,Dr. Barbara Sturm,https://www.drsturm.com/,Skincare medico (DE),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,BLOQUEADO - sin calificacion
