page,section,component,current_copy,purpose,classification,issue,recommended_action,proposed_copy,seo_sensitive,factual_dependency,notes
sitewide/shared,aria-label,src/components/layout/Header.tsx:48,Ir al inicio,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Ir al inicio,no,no,
sitewide/shared,small,src/components/layout/Header.tsx:54,Consultorio odontológico · Carepa,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Consultorio odontológico · Carepa,no,no,
sitewide/shared,aria-label,src/components/layout/Header.tsx:58,Navegación principal,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Navegación principal,no,no,
/ (home section),alt,src/components/sections/AboutDoctor.tsx:23,Imagen referencial de atención odontológica profesional,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de atención odontológica profesional,no,no,
/ (home section),aria-label,src/components/sections/AboutDoctor.tsx:30,Perfil profesional,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Perfil profesional,no,no,
/ (home section),p,src/components/sections/AboutDoctor.tsx:42,Conoce a la doctora,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Conoce a la doctora,no,no,
/ (home section),h2,src/components/sections/AboutDoctor.tsx:43,"Una atención odontológica clara, cercana y profesional.",Heading / scanning,SHORTEN,Abstract or agency-like phrasing,SHORTEN,Dra. Nataly Jiménez,no,no,
/ (home section),aria-label,src/components/sections/AboutDoctor.tsx:46,Puntos de confianza,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Datos de atención,no,no,
/ (home section),aria-label,src/components/sections/AboutDoctor.tsx:55,Enfoque de atención,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Enfoque de atención,no,no,
/ (home section),p,src/components/sections/AestheticFunctionalCare.tsx:8,Estética con criterio clínico,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Estética con criterio clínico,no,no,
/ (home section),h2,src/components/sections/AestheticFunctionalCare.tsx:9,Cuidado oral con enfoque estético y funcional,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Cuidado oral con enfoque estético y funcional,no,no,
/ (home section),p,src/components/sections/AestheticFunctionalCare.tsx:11,"Una sonrisa se ve mejor cuando también funciona bien. Por eso, antes de pensar en cambios estéticos, conviene revisar encías, mordida, restauraciones, hábitos y salud general de la boca.",Information / orientation,SHORTEN,Long for its interface context,SHORTEN,"Una sonrisa se ve mejor cuando también funciona bien. Por eso, antes de pensar en cambios estéticos, conviene revisar encías, mordida, restauraciones, hábitos y salud general de la boca.",no,no,
/ (home section),p,src/components/sections/AestheticFunctionalCare.tsx:16,"La intención no es vender un tratamiento único, sino ayudarte a entender qué opciones pueden tener sentido para tu caso.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"La intención no es vender un tratamiento único, sino ayudarte a entender qué opciones pueden tener sentido para tu caso.",no,no,
/ (home section),title,src/components/sections/BeforeBooking.tsx:18,Puedes preguntar primero,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Puedes preguntar primero,no,no,
/ (home section),p,src/components/sections/BeforeBooking.tsx:33,"Escríbenos primero, agenda después con tranquilidad.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Escríbenos primero, agenda después con tranquilidad.",no,no,
/ (home section),title,src/components/sections/BrandStory.tsx:14,Atención clara antes de decidir un tratamiento,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Atención clara antes de decidir un tratamiento,no,no,
/ (home section),aria-label,src/components/sections/BrandStory.tsx:30,Enlaces de información del consultorio,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Enlaces de información del consultorio,no,no,
/ (home section),title,src/components/sections/CareExperience.tsx:11,Una ruta clara desde el primer mensaje,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Desde el primer mensaje,no,no,
/ (home section),p,src/components/sections/CompactDoctorTrust.tsx:25,Quién te orienta,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Quién te atiende,no,no,
/ (home section),h2,src/components/sections/CompactDoctorTrust.tsx:26,"Personas reales, atención cercana.",Heading / scanning,SHORTEN,Abstract or agency-like phrasing,SHORTEN,Dra. Nataly Jiménez,no,no,
/ (home section),p,src/components/sections/CompactDoctorTrust.tsx:27,Tu caso se valora antes de recomendar un tratamiento.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Odontología general y estética en Carepa.,no,no,
/ (home section),aria-label,src/components/sections/CompactDoctorTrust.tsx:48,Puntos de confianza,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Datos del consultorio,no,no,
/ (home section),title,src/components/sections/DentalTeam.tsx:24,Profesionales para una atención odontológica integral,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Conoce al equipo,no,no,
/ (home section),p,src/components/sections/Emergency.tsx:19,Prioridad a urgencias según disponibilidad,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Prioridad a urgencias según disponibilidad,no,no,
/ (home section),p,src/components/sections/Emergency.tsx:21,Urgencias odontológicas,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias odontológicas,no,no,
/ (home section),h2,src/components/sections/Emergency.tsx:22,¿Tienes dolor ahora?,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,¿Tienes dolor ahora?,no,no,
/ (home section),p,src/components/sections/Emergency.tsx:23,Escríbenos para consultar disponibilidad de valoración.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Escríbenos y dinos qué pasó para consultar disponibilidad.,no,no,
/ (home section),aria-label,src/components/sections/Emergency.tsx:36,Motivos frecuentes de urgencia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Motivos frecuentes de urgencia,no,no,
/ (home section),title,src/components/sections/FAQ.tsx:11,Antes de agendar,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Antes de agendar,no,no,
/ (home section),title,src/components/sections/FeaturedTreatments.tsx:15,Quiero una sonrisa más limpia,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Necesito una limpieza,no,no,
/ (home section),summary,src/components/sections/FeaturedTreatments.tsx:15,Cuidado preventivo para dientes y encías.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Remoción de placa y revisión de las encías.,no,no,
/ (home section),title,src/components/sections/FeaturedTreatments.tsx:16,Quiero aclarar mis dientes,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Quiero aclarar mis dientes,no,no,
/ (home section),summary,src/components/sections/FeaturedTreatments.tsx:16,Opciones responsables según tu salud oral.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Opciones según tu salud oral y sensibilidad.,no,no,
/ (home section),title,src/components/sections/FeaturedTreatments.tsx:17,Quiero mejorar mi sonrisa,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Quiero mejorar mi sonrisa,no,no,
/ (home section),summary,src/components/sections/FeaturedTreatments.tsx:17,Alternativas estéticas con valoración previa.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Alternativas estéticas con valoración previa.,no,no,
/ (home section),title,src/components/sections/FeaturedTreatments.tsx:18,Necesito atención por dolor,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Necesito atención por dolor,no,no,
/ (home section),summary,src/components/sections/FeaturedTreatments.tsx:18,Consulta disponibilidad para una valoración.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Consulta disponibilidad para una valoración.,no,no,
/ (home section),title,src/components/sections/FeaturedTreatments.tsx:32,Opciones según lo que quieres resolver,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Opciones según lo que quieres resolver,no,no,
/ (home section),p,src/components/sections/FinalWhatsAppCTA.tsx:18,Agenda por WhatsApp,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Agenda por WhatsApp,no,no,
/ (home section),h2,src/components/sections/FinalWhatsAppCTA.tsx:19,Cuéntanos qué necesitas y revisamos el siguiente paso.,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,¿Quieres agendar una valoración?,no,no,
/ (home section),p,src/components/sections/FinalWhatsAppCTA.tsx:21,Puedes escribir aunque no sepas el tratamiento. La valoración define las opciones adecuadas.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Escribe aunque no sepas el nombre del tratamiento. Cuéntanos qué necesitas.,no,no,
/ (home section),title,src/components/sections/FirstVisit.tsx:12,Tu primera cita en 3 pasos,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Tu primera cita en 3 pasos,no,no,
/ (home section),p,src/components/sections/FirstVisit.tsx:16,No necesitas saber el nombre del tratamiento.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,No necesitas saber el nombre del tratamiento.,no,no,
/ (home section),p,src/components/sections/FirstVisit.tsx:17,Puedes escribir contando lo que sientes o lo que te gustaría revisar.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Puedes escribir contando lo que sientes o lo que te gustaría revisar.,no,no,
/ (home section),aria-label,src/components/sections/GoogleTrustPreview.tsx:12,Opiniones verificadas en Google,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Opiniones verificadas en Google,no,no,
/ (home section),p,src/components/sections/GoogleTrustPreview.tsx:14,de 5 en Google ·,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,de 5 en Google ·,no,no,
/ (home section),p,src/components/sections/GoogleTrustPreview.tsx:14,opiniones,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,opiniones,no,no,
/ (home section),a,src/components/sections/GoogleTrustPreview.tsx:15,Ver perfil en Google,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Ver perfil en Google,no,no,
/ (home section),p,src/components/sections/Hero.tsx:16,Odontología en Carepa,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Odontología en Carepa,no,no,
/ (home section),h1,src/components/sections/Hero.tsx:17,Cuéntanos qué necesitas,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Cuéntanos qué necesitas,no,no,
/ (home section),p,src/components/sections/Hero.tsx:19,"Dolor, una inquietud estética o cuidado preventivo: elige lo más cercano a tu caso y te mostramos cómo empezar.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"¿Tienes dolor, quieres mejorar tu sonrisa o buscas una revisión? Elige una opción.",no,no,
/ (home section),a,src/components/sections/Hero.tsx:26,Elegir qué necesito,Action / choice,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Elegir una opción,no,no,
/ (home section),aria-label,src/components/sections/Hero.tsx:29,Datos de confianza,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Datos del consultorio,no,no,
/ (home section),p,src/components/sections/IntentGateway.tsx:12,Paso 1 de 2 · Elige tu motivo,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Paso 1 de 2,no,no,
/ (home section),h2,src/components/sections/IntentGateway.tsx:13,¿Qué necesitas hoy?,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,¿Qué necesitas hoy?,no,no,
/ (home section),aria-label,src/components/sections/IntentGateway.tsx:15,Motivos principales de consulta,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Motivos principales de consulta,no,no,
/ (home section),title,src/components/sections/LocalTrust.tsx:12,Una atención pensada para Carepa y la región de Urabá,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Atención odontológica en Carepa,no,no,
/ (home section),h3,src/components/sections/Location.tsx:25,Dirección,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Dirección,no,yes,
/ (home section),h3,src/components/sections/Location.tsx:29,Horarios,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Horarios,no,yes,
/ (home section),aria-label,src/components/sections/Location.tsx:51,"Ver referencia de Carepa, Antioquia en Google Maps",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Ver referencia de Carepa, Antioquia en Google Maps",no,no,
/ (home section),strong,src/components/sections/Location.tsx:54,"Carepa, Antioquia",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Carepa, Antioquia",no,no,
/ (home section),span,src/components/sections/Location.tsx:55,Confirmar ubicación exacta al agendar,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Confirmar ubicación exacta al agendar,no,no,
/ (home section),title,src/components/sections/NeedSelector.tsx:91,¿Qué necesitas hoy?,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,¿Qué necesitas hoy?,no,no,
/ (home section),p,src/components/sections/NeedSelector.tsx:95,Esta guía reduce la fricción del primer mensaje. La valoración profesional define el diagnóstico y el plan adecuado.,Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,Esto no es un diagnóstico. La valoración define el tratamiento.,no,no,
/ (home section),aria-label,src/components/sections/NeedSelector.tsx:101,Motivos de consulta,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Motivos de consulta,no,no,
/ (home section),span,src/components/sections/NeedSelector.tsx:120,Motivo seleccionado,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Motivo seleccionado,no,no,
/ (home section),p,src/components/sections/OralHealthCampaign.tsx:17,Campaña local,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Campaña local,no,no,
/ (home section),h2,src/components/sections/OralHealthCampaign.tsx:18,Semana de salud oral en Carepa,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Semana de salud oral en Carepa,no,no,
/ (home section),p,src/components/sections/OralHealthCampaign.tsx:20,"Agenda tu valoración odontológica preventiva. Revisamos tu caso, resolvemos tus dudas y te orientamos sobre el tratamiento más adecuado según diagnóstico clínico.",Information / orientation,SHORTEN,Long for its interface context,SHORTEN,"Agenda tu valoración odontológica preventiva. Revisamos tu caso, resolvemos tus dudas y te orientamos sobre el tratamiento más adecuado según diagnóstico clínico.",no,no,
/ (home section),p,src/components/sections/OralHealthCampaign.tsx:24,Cupos limitados por agenda. La valoración no reemplaza procedimientos clínicos ni garantiza tratamientos específicos.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Cupos limitados por agenda. La valoración no reemplaza procedimientos clínicos ni garantiza tratamientos específicos.,no,no,
/ (home section),h3,src/components/sections/OralHealthCampaign.tsx:30,Beneficio según valoración,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Beneficio según valoración,no,no,
/ (home section),p,src/components/sections/OralHealthCampaign.tsx:32,"Si después de la valoración decides iniciar tratamiento, podrás acceder a un beneficio especial en profilaxis o control preventivo, según diagnóstico y disponibilidad.",Information / orientation,SHORTEN,Long for its interface context,SHORTEN,"Si después de la valoración decides iniciar tratamiento, podrás acceder a un beneficio especial en profilaxis o control preventivo, según diagnóstico y disponibilidad.",no,no,
/ (home section),p,src/components/sections/PatientGuidance.tsx:16,Orientación sin presión,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Puedes empezar por aquí,no,no,
/ (home section),h2,src/components/sections/PatientGuidance.tsx:17,No necesitas saber qué tratamiento pedir,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,No tienes que saber qué tratamiento pedir,no,no,
/ (home section),p,src/components/sections/PatientGuidance.tsx:19,"Puedes escribir con tus síntomas, una molestia, una duda estética o una foto de referencia si la tienes. La valoración ayuda a traducir esa inquietud en un camino clínico responsable.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,Escribe qué sientes o qué quieres cambiar. En la valoración revisamos el caso y te explicamos las opciones.,no,no,
/ (home section),p,src/components/sections/RegionFocus.tsx:16,Carepa y Urabá,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Carepa y Urabá,no,no,
/ (home section),h2,src/components/sections/RegionFocus.tsx:17,Atención en Carepa para pacientes de la región,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Atención en Carepa para pacientes de la región,no,no,
/ (home section),p,src/components/sections/RegionFocus.tsx:19,Este sitio está pensado para personas de Carepa y la región de Urabá que quieren orientación clara antes de iniciar un tratamiento. La atención es en Carepa y la disponibilidad se confirma por WhatsApp.,Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"La atención es en Carepa. Si vienes desde otro municipio de Urabá, confirma la cita y la ubicación por WhatsApp antes de desplazarte.",no,no,
/ (home section),aria-label,src/components/sections/RegionFocus.tsx:28,Municipios de referencia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Municipios de referencia,no,no,
/ (home section),p,src/components/sections/RegionWhatsApp.tsx:8,Carepa y Urabá,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Carepa y Urabá,no,no,
/ (home section),h2,src/components/sections/RegionWhatsApp.tsx:9,Escribe desde tu ubicación y revisamos disponibilidad.,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,¿Vienes desde otro lugar de Urabá?,no,no,
/ (home section),p,src/components/sections/RegionWhatsApp.tsx:11,"Atendemos pacientes de Carepa, veredas cercanas y la región de Urabá con cita previa.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Atendemos pacientes de Carepa, veredas cercanas y la región de Urabá con cita previa.",no,no,
/ (home section),aria-label,src/components/sections/RegionWhatsApp.tsx:13,Zonas de cobertura por WhatsApp,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Zonas de cobertura por WhatsApp,no,no,
/ (home section),span,src/components/sections/RegionWhatsApp.tsx:35,Atención con cita previa,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Antes de desplazarte,no,no,
/ (home section),strong,src/components/sections/RegionWhatsApp.tsx:36,La ubicación exacta y la disponibilidad se confirman al agendar.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,La ubicación exacta y la disponibilidad se confirman al agendar.,no,no,
/ (home section),title,src/components/sections/ServiceCatalogPreview.tsx:19,Servicios organizados para consultar rápido,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Servicios organizados para consultar rápido,no,no,
/ (home section),span,src/components/sections/ServiceCatalogPreview.tsx:34,servicios,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,servicios,no,no,
/ (home section),a,src/components/sections/ServiceCatalogPreview.tsx:39,Consultar,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Consultar,no,no,
/ (home section),title,src/components/sections/Services.tsx:12,"Servicios odontológicos para cuidar salud, función y estética",Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,"Servicios odontológicos para cuidar salud, función y estética",no,no,
/ (home section),title,src/components/sections/Testimonials.tsx:11,Una experiencia pensada para que decidas con tranquilidad,Heading / scanning,SHORTEN,Abstract or agency-like phrasing,SHORTEN,Lo que puedes esperar de la consulta,no,no,
/ (home section),span,src/components/sections/Testimonials.tsx:22,Criterio de atención,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Criterio de atención,no,no,
/ (home section),aria-label,src/components/sections/TrustBar.tsx:5,Beneficios de la atención,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Beneficios de la atención,no,no,
sitewide/shared,aria-label,src/components/ui/MobileStickyCTA.tsx:71,Acciones rápidas por WhatsApp,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Acciones rápidas por WhatsApp,no,no,
sitewide/shared,aria-label,src/components/ui/WhatsAppFloatingButton.tsx:18,Agendar cita por WhatsApp,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Agendar cita por WhatsApp,no,no,
sitewide/shared,span,src/components/ui/WhatsAppFloatingButton.tsx:23,WhatsApp,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,WhatsApp,no,no,
sitewide/shared,title,src/data/brandContent.ts:9,"Más que cuidar dientes, creamos sonrisas con confianza.",Heading / scanning,SHORTEN,Abstract or agency-like phrasing,SHORTEN,Un consultorio odontológico en Carepa,no,no,
sitewide/shared,title,src/data/brandContent.ts:26,Primero entender,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Cuéntanos qué necesitas,no,no,
sitewide/shared,description,src/data/brandContent.ts:28,"Cada cita inicia con una conversación sobre lo que sientes, lo que quieres mejorar y las dudas que necesitas resolver.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"La cita comienza por lo que sientes, lo que quieres cambiar o la duda que necesitas resolver.",no,no,
sitewide/shared,title,src/data/brandContent.ts:31,Luego valorar,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Revisamos el caso,no,no,
sitewide/shared,description,src/data/brandContent.ts:33,"La valoración permite revisar salud oral, prioridades y necesidades reales antes de sugerir un tratamiento.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Antes de sugerir un tratamiento revisamos tu salud oral y el motivo de consulta.,no,no,
sitewide/shared,title,src/data/brandContent.ts:36,Después decidir,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Te explicamos las opciones,no,no,
sitewide/shared,description,src/data/brandContent.ts:38,Las recomendaciones se explican con claridad para que puedas tomar decisiones informadas y sin presión.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Te contamos qué encontramos y qué alternativas corresponden a tu caso.,no,no,
sitewide/shared,label,src/data/brandContent.ts:42,Conocer el equipo,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Conocer el equipo,no,no,
sitewide/shared,label,src/data/brandContent.ts:43,Ver todos los servicios,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Ver todos los servicios,no,no,
sitewide/shared,label,src/data/brandContent.ts:44,Leer sobre la doctora,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Leer sobre la doctora,no,no,
/c/*,name,src/data/campaigns.ts:38,Lanzamiento del sitio,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Lanzamiento del sitio,yes,no,
/c/*,whatsappMessage,src/data/campaigns.ts:47,"Hola, conocí el nuevo sitio de la Dra. Nataly Jiménez y quiero recibir orientación para una valoración odontológica. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera agendar una valoración odontológica. ¿Tienen disponibilidad?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:50,Elige tu necesidad y encuentra un punto de partida claro.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Elige tu motivo de consulta.,yes,no,
/c/*,headline,src/data/campaigns.ts:51,Una forma más clara de empezar a cuidar tu sonrisa,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,¿Qué necesitas consultar?,yes,no,
/c/*,cta,src/data/campaigns.ts:54,Elegir mi necesidad,Action / choice,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Elegir una opción,yes,no,
/c/*,name,src/data/campaigns.ts:61,Urgencias odontológicas,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias odontológicas,yes,no,
/c/*,whatsappMessage,src/data/campaigns.ts:70,"Hola, tengo una urgencia odontológica y quiero consultar disponibilidad para una valoración. Estoy en Carepa o cerca.",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, tengo una urgencia odontológica. ¿Tienen disponibilidad para atenderme?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:73,Elige tu molestia y consulta disponibilidad.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Elige tu molestia y consulta disponibilidad.,yes,no,
/c/*,headline,src/data/campaigns.ts:74,"Si algo te duele o se dañó, empieza por aquí",Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,"Si algo te duele o se dañó, empieza por aquí",yes,no,
/c/*,cta,src/data/campaigns.ts:77,Revisar mi urgencia,Action / choice,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Elegir la molestia,yes,no,
/c/*,name,src/data/campaigns.ts:84,Mejorar mi sonrisa,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Mejorar mi sonrisa,yes,no,
