id,original_filename,type,extension,width,height,duration,fps,filesize,orientation,visual_summary,people_visible,patient_possible,private_information,text_baked_in,logo_baked_in,phone_baked_in,address_baked_in,quality,recommended_usage,consent_required,publish_status,notes
IMG-016,"WhatsApp Image 2026-08-22 at 2.04.45 PM.jpeg",equipment,jpeg,899,1599,,,100772,portrait,"Unidad e instrumental preparados; marca Meta AI visible.",no,no,no,yes,no,no,no,E,"No usar como fotografía real; conservar para aclarar procedencia.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: la marca Meta AI contradice el uso como fotografía real."
IMG-017,"WhatsApp Image 2026-08-22 at 2.13.08 PM.jpeg",portrait,jpeg,1200,1599,,,167240,portrait,"Retrato selfie de Nataly con uniforme rosa dentro del consultorio.",yes,no,no,no,no,no,no,B,"Campañas de confianza, Google Business y redes.",no,PUBLIC-SAFE,"Buena resolución y autenticidad; composición de selfie, no retrato corporativo."
IMG-018,"WhatsApp Image 2026-08-22 at 2.16.22 PM.jpeg",story,jpeg,899,1599,,,103944,portrait,"Story de unidad vacía con CTA y marca Meta AI visible.",no,no,no,yes,no,yes,no,E,"No usar como fotografía real; conservar para aclarar procedencia.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: marca Meta AI. Teléfono correcto."
IMG-019,"WhatsApp Image 2026-08-22 at 2.17.01 PM.jpeg",logo,jpeg,1563,1563,,,69258,square,"Logo de la Dra. Nataly Jiménez sobre fondo blanco texturizado.",no,no,no,yes,yes,no,no,B,"Referencia de marca y publicaciones orgánicas puntuales.",no,PUBLIC-SAFE,"No sustituye activos vectoriales; original público conservado."
IMG-020,"WhatsApp Image 2026-08-22 at 2.21.07 PM.jpeg",story,jpeg,2340,4160,,,337417,portrait,"Story de buenos días con Nataly sentada en el consultorio y CTA de citas disponibles.",yes,no,no,yes,yes,yes,no,C,"WhatsApp Status o Instagram Story solo al confirmar disponibilidad del día.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: la frase citas disponibles es dinámica. Teléfono 3128311449 correcto."
VID-001,"WhatsApp Video 2026-08-22 at 2.04.36 PM.mp4",video_reel,mp4,720,1280,15.139,1.069,547287,portrait,"Video-story casi estático de unidad vacía al cierre de jornada.",no,no,no,yes,no,no,no,C,"B-roll, Story y confianza local.",no,PUBLIC-SAFE,"H.264 + AAC; preview público optimizado. No se detectaron silencios prolongados."
VID-002,"WhatsApp Video 2026-08-22 at 2.04.42 PM.mp4",video_reel,mp4,1080,1920,20.163,1,1606443,portrait,"Video-story casi estático del consultorio vacío al finalizar jornada.",no,no,no,yes,no,no,no,C,"B-roll de espacio y clinic tour breve.",no,PUBLIC-SAFE,"HEVC + AAC; transcodificado a H.264 solo para preview compatible."
VID-003,"WhatsApp Video 2026-08-22 at 2.04.43 PM.mp4",video_reel,mp4,478,850,7.410,30,1675580,portrait,"Nataly frente a cámara con animación de mensajes para pedir valoración.",yes,no,no,yes,no,no,no,A,"Reel-ready para valoración general.",no,PUBLIC-SAFE,"Mejor video de la entrega; audio alto pero sin clipping medido. Preview público optimizado."
VID-004,"WhatsApp Video 2026-08-22 at 2.15.16 PM.mp4",video_procedure,mp4,478,850,17.167,30,3617359,portrait,"Atención clínica con paciente y explicación gráfica sobre carillas.",yes,yes,no,yes,no,yes,yes,B,"Reel educativo de sonrisa una vez confirmada la promoción.",no,PUBLIC-PENDING-CONFIRMATION,"Permiso del procedimiento confirmado. DO NOT PUBLISH UNTIL CONFIRMED: incluye consulta de valoración gratis; audio llega a 0.0 dB."
VID-005,"WhatsApp Video 2026-08-22 at 2.15.48 PM.mp4",video_reel,mp4,478,850,9.036,30,1905596,portrait,"Nataly y Vanesa listas para atender, con CTA y consulta gratis.",yes,no,no,yes,no,yes,no,B,"Reel de equipo después de confirmar promoción.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: consulta gratis. Teléfono correcto; audio llega a 0.0 dB."
